"平成29年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成29年4月1日から平成30年3月31日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"海草振興局建設部","不動産鑑定業務","杭ノ瀬川堤防改修工事に係る不動産鑑定","株式会社
井崎不動産鑑定事務所","単価契約","H29.6.29","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","海南金屋線道路改良工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.6.29","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","清水不動産鑑定士事務所","単価契約","H29.6.30","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","岩出野上線交付金交通安全工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","国道３７１号道路改良工事に係る不動産鑑定業務","株式会社　
明和不動産鑑定所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","芳養清川線道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.7.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","谷奥谷川砂防事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.7.7","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局串本建設部","不動産鑑定業務","すさみ古座線道路改良工事に係る不動産鑑定業務","有限会社
アトラス鑑定","単価契約","H29.7.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","中三谷下井阪線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.7.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","国道４２４号道路改良工事に係る意見書","有限会社
わかさ不動産鑑定","単価契約","H29.7.19","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H29.7.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里２バイパス）に係る不動産鑑定","有限会社
アトラス鑑定","単価契約","H29.7.20","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","楠本小川線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.7.21","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.7.27","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.7.27","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","畑地区砂防工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.7.28","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","太田川河川整備工事に係る不動産鑑定業務","有限会社
アトラス鑑定","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","清の川砂防工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","清の川砂防工事に係る不動産鑑定業務","小川不動産鑑定事務所","単価契約","H29.7.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","引尾下津線小規模道路改良工事に係る不動産鑑定","小林一三不動産鑑定事務所","単価契約","H29.8.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","畑峰峠谷川砂防事業に係る意見書","藍畑不動産鑑定事務所","単価契約","H29.8.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","奥佐々阪井線地方特定道路整備工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","太地新宮自転車道線サイクリングロード整備工事に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","H29.8.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","梶取崎線小規模道路改良工事に伴う不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.8.17","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H29.8.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る意見書","清水不動産鑑定士事務所","単価契約","H29.8.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","畑峰峠谷川砂防事業に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","古井西の地線交付金交通安全事業に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","田辺印南線道路改良事業に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","白浜久木線道路改良事業に係る意見書","有限会社
紀州不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","白浜久木線道路改良事業に係る意見書","小林一三不動産鑑定事務所","単価契約","H29.8.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","和歌山橋本線交付金交通安全工事に係る意見書","小川不動産鑑定事務所","単価契約","H29.8.23","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"伊都振興局建設部","不動産鑑定業務","和歌山橋本線交付金交通安全工事に係る意見書","小川不動産鑑定事務所","単価契約","H29.8.23","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","海南金屋線道路改良工事に係る不動産鑑定","小川不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る不動産鑑定業務","藍畑不動産鑑定事務所","単価契約","H29.8.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線道路改良工事に係る不動産鑑定評価","株式会社
明和不動産鑑定所","単価契約","H29.9.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","粉河加太線交通安全施設等整備工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.9.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","有田湯浅線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.9.4","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","有田湯浅線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.9.4","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","佐野川河川整備工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","佐野川河川整備工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.9.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","日方大野中藤白線道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.9.11","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.9.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","芳養川河川整備工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.9.14","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","長野上秋津線小規模道路改良工事に係る意見書","藍畑不動産鑑定事務所","単価契約","H29.9.22","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","立平地区緊急地すべり対策事業に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.9.25","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","長野川堤防改修工事に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H29.9.26","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","市井谷川砂防事業に係る不動産鑑定業務","くろしお鑑定","単価契約","H29.9.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","市井谷川砂防事業に係る不動産鑑定業務","くろしお鑑定","単価契約","H29.9.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","市井谷川砂防事業に係る不動産鑑定業務","くろしお鑑定","単価契約","H29.9.28","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る不動産鑑定","イーストノース株式会社","単価契約","H29.10.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る意見書","イーストノース株式会社","単価契約","H29.10.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る意見書","イーストノース株式会社","単価契約","H29.10.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","大崎加茂郷停車場線小規模道路改良工事に係る意見書","イーストノース株式会社","単価契約","H29.10.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","井関御坊線道路改良工事に係る意見書","有限会社
衣奈不動産鑑定所","単価契約","H29.10.2","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており、経験が豊富であるため。",""
"有田振興局建設部","不動産鑑定業務","井関御坊線道路改良工事に係る不動産鑑定業務","有限会社
衣奈不動産鑑定所","単価契約","H29.10.10","報償額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智山勝浦線交付金交通安全工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","H29.10.17","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","那智山勝浦線道路維持修繕工事に係る不動産鑑定業務","有限会社衣奈不動産鑑定所","単価契約","H29.10.24","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","志賀川堤防改修事業に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H29.10.25","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","熊野川河川整備工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.10.25","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","平野谷川砂防事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.10.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","平野谷川砂防事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.10.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","平野谷川砂防事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.10.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","秋津川田辺線小規模道路改良事業に係る意見書","藍畑不動産鑑定事務所","単価契約","H29.10.31","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","御坊由良線小規模道路改良事業に係る不動産鑑定業務","清水不動産鑑定士事務所","単価契約","H29.11.2","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","住吉川河川整備工事に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H29.11.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","西脇山口線道路改良工事に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H29.11.14","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（阪井バイパス）に係る不動産鑑定","株式会社井崎不動産鑑定事務所","単価契約","H29.12.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","県道興加茂郷停車場線交通安全施設等整備工事に係る不動産鑑定","株式会社井崎不動産鑑定事務所","単価契約","H29.12.1","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","南港山東線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.12.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","南港山東線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","H29.12.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","県道海南吉備線小規模道路改良工事に係る不動産鑑定","小林一三不動産鑑定事務所","単価契約","H29.12.5","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","岩垣内谷川砂防事業に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","H29.12.8","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","岩垣内谷川砂防事業に係る不動産鑑定業務","株式会社
井崎不動産鑑定事務所","単価契約","H29.12.8","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","県道海南金屋線道路改良工事に係る不動産鑑定","小川不動産鑑定事務所","単価契約","H29.12.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"那賀振興局建設部","不動産鑑定業務","春日川堤防改修工事に係る不動産鑑定業務","南海鑑定センター
株式会社","単価契約","H29.12.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","日高印南線小規模道路改良事業に係る不動産鑑定業務","南海鑑定センター株式会社","単価契約","H29.12.18","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","佐野川河川整備工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","H30.1.10","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","国道４２４号交付金交通安全事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H30.1.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","国道４２４号交付金交通安全事業に係る不動産鑑定業務","株式会社
阪和不動産鑑定所","単価契約","H30.1.4","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","三又谷川砂防事業に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H30.1.9","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","三又谷川砂防事業に係る不動産鑑定業務","株式会社
明和不動産鑑定所","単価契約","H30.1.9","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事（美里４ＢＰ）に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H30.1.15","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"東牟婁振興局新宮建設部","不動産鑑定業務","長谷川河川災害復旧工事に係る不動産鑑定業務","株式会社
川端不動産研究所","単価契約","H30.1.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","柏御坊線道路改良事業に係る不動産鑑定業務","有限会社紀州不動産鑑定事務所","単価契約","H30.2.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"日高振興局建設部","不動産鑑定業務","柏御坊線道路改良事業に係る不動産鑑定業務","有限会社紀州不動産鑑定事務所","単価契約","H30.2.6","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","七瀬川堤防改修に係る意見書","株式会社
井崎不動産鑑定事務所","単価契約","H30.2.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","三田海南線道路改良に係る不動産鑑定","清水不動産鑑定事務所","単価契約","H30.2.13","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事(美里４バイパス)に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H30.2.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事(美里４バイパス)に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H30.2.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道３７０号道路改良工事(美里４バイパス)に係る不動産鑑定","清水不動産鑑定士事務所","単価契約","H30.2.16","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道370号道路改良工事(美里２バイパス)に係る不動産鑑定","株式会社
阪和不動産鑑定所","単価契約","H30.2.19","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部海南工事事務所","不動産鑑定業務","国道370号道路改良工事(美里２バイパス)に係る不動産鑑定","株式会社
阪和不動産鑑定所","単価契約","H30.2.19","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
